AssessmentID,SessionID,Subject,Questions_Total,Questions_Correct,Difficulty_Rating
1,1,Science,36,26,1
2,2,Chemistry,21,19,4
3,3,English,11,7,1
4,4,Math,29,17,2
5,5,Science,29,24,1
6,6,English,27,19,2
7,7,Science,21,15,3
8,8,Chemistry,19,9,2
9,9,Chemistry,39,21,2
10,10,Science,13,12,3
11,11,Chemistry,46,14,4
12,12,Math,30,19,4
13,13,Science,45,17,5
14,14,English,18,13,1
15,15,English,17,10,4
16,16,Chemistry,13,6,5
17,17,Chemistry,23,20,2
18,18,Chemistry,26,11,4
19,19,Math,12,10,5
20,20,Physics,21,14,1
21,21,Science,16,8,3
22,22,Physics,32,20,1
23,23,Science,26,14,3
24,24,English,22,18,5
25,25,Math,29,19,3
26,26,Chemistry,48,35,4
27,27,Physics,10,5,5
28,28,Physics,28,16,2
29,29,Math,16,6,4
30,30,Chemistry,21,8,2
31,31,Math,31,16,2
32,32,Math,40,25,3
33,33,Math,26,14,2
34,34,English,42,29,3
35,35,Chemistry,45,34,1
36,36,Physics,44,28,2
37,37,Science,27,13,3
38,38,Physics,41,34,5
39,39,English,27,14,2
40,40,Physics,14,7,1
41,41,Chemistry,31,10,2
42,42,Physics,35,28,1
43,43,Math,10,7,4
44,44,Physics,43,36,4
45,45,Math,28,17,5
46,46,Math,10,5,3
47,47,Science,24,13,2
48,48,English,47,26,2
49,49,English,10,7,5
50,50,Math,35,16,2
51,51,Science,22,13,3
52,52,Chemistry,32,23,3
53,53,Science,18,5,5
54,54,Math,16,10,1
55,55,Physics,48,35,3
56,56,Science,38,22,5
57,57,Chemistry,25,19,2
58,58,Chemistry,16,11,2
59,59,Science,28,8,2
60,60,Chemistry,12,10,1
61,61,Science,45,19,4
62,62,English,47,28,3
63,63,Math,45,29,3
64,64,Physics,32,17,5
65,65,Physics,38,19,2
66,66,Physics,29,15,2
67,67,Chemistry,19,17,3
68,68,Math,33,11,5
69,69,English,49,28,5
70,70,English,23,12,5
71,71,Science,29,21,4
72,72,English,32,21,1
73,73,Physics,41,29,3
74,74,Science,47,14,4
75,75,Math,20,14,2
76,76,English,46,22,1
77,77,Chemistry,43,31,1
78,78,English,17,11,5
79,79,Math,43,38,5
80,80,Chemistry,32,22,4
81,81,Chemistry,14,8,3
82,82,Chemistry,23,9,2
83,83,Physics,11,7,1
84,84,English,44,15,4
85,85,Math,16,8,3
86,86,English,46,16,1
87,87,Science,19,9,5
88,88,Science,11,6,2
89,89,English,36,20,3
90,90,English,27,9,5
91,91,Physics,13,8,4
92,92,English,41,20,5
93,93,English,13,11,3
94,94,Chemistry,34,10,2
95,95,Physics,20,12,4
96,96,Physics,15,9,5
97,97,Physics,32,16,5
98,98,Math,46,42,5
99,99,Science,38,15,3
100,100,Physics,29,18,5
101,101,English,21,12,5
102,102,Chemistry,31,21,5
103,103,Science,38,28,2
104,104,Chemistry,10,8,1
105,105,Math,12,4,3
106,106,Chemistry,37,18,5
107,107,Physics,17,5,4
108,108,Science,39,12,2
109,109,Math,15,9,2
110,110,Chemistry,17,9,3
111,111,English,25,10,2
112,112,English,16,11,4
113,113,Math,26,8,3
