SessionID,Date,ResourceID,MethodID,Duration_Minutes,FocusScore,Passive_Flag,Hour,DateTime
1,2004-05-16 00:34:16.952844,106,1,132,94,0,20,2004-05-16 20:34:16.952844
2,2004-05-17 00:34:16.952844,106,3,122,89,0,22,2004-05-17 22:34:16.952844
3,2004-05-18 00:34:16.952844,102,2,136,82,0,13,2004-05-18 13:34:16.952844
4,2004-05-19 00:34:16.952844,106,5,218,56,0,7,2004-05-19 07:34:16.952844
5,2004-05-20 00:34:16.952844,105,4,151,93,0,22,2004-05-20 22:34:16.952844
6,2004-05-21 00:34:16.952844,101,1,104,85,0,10,2004-05-21 10:34:16.952844
7,2004-05-22 00:34:16.952844,102,5,117,78,0,14,2004-05-22 14:34:16.952844
8,2004-05-23 00:34:16.952844,105,2,133,77,1,14,2004-05-23 14:34:16.952844
9,2004-05-24 00:34:16.952844,102,4,179,76,1,7,2004-05-24 07:34:16.952844
10,2004-05-25 00:34:16.952844,107,1,117,86,0,7,2004-05-25 07:34:16.952844
11,2004-05-26 00:34:16.952844,106,4,187,55,1,8,2004-05-26 08:34:16.952844
12,2004-05-27 00:34:16.952844,103,2,159,75,0,22,2004-05-27 22:34:16.952844
13,2004-05-28 00:34:16.952844,107,3,233,61,0,19,2004-05-28 19:34:16.952844
14,2004-05-29 00:34:16.952844,101,4,118,91,0,19,2004-05-29 19:34:16.952844
15,2004-05-30 00:34:16.952844,103,3,88,84,1,19,2004-05-30 19:34:16.952844
16,2004-05-31 00:34:16.952844,107,1,217,65,1,11,2004-05-31 11:34:16.952844
17,2004-06-01 00:34:16.952844,105,1,44,89,1,8,2004-06-01 08:34:16.952844
18,2004-06-02 00:34:16.952844,101,5,219,68,1,6,2004-06-02 06:34:16.952844
19,2004-06-03 00:34:16.952844,107,5,137,94,1,21,2004-06-03 21:34:16.952844
20,2004-06-04 00:34:16.952844,105,2,93,77,0,9,2004-06-04 09:34:16.952844
21,2004-06-05 00:34:16.952844,101,2,80,81,1,6,2004-06-05 06:34:16.952844
22,2004-06-06 00:34:16.952844,101,2,50,83,0,22,2004-06-06 22:34:16.952844
23,2004-06-07 00:34:16.952844,104,3,196,67,1,13,2004-06-07 13:34:16.952844
24,2004-06-08 00:34:16.952844,106,3,161,88,0,7,2004-06-08 07:34:16.952844
25,2004-06-09 00:34:16.952844,103,3,38,76,0,21,2004-06-09 21:34:16.952844
26,2004-06-10 00:34:16.952844,106,3,113,89,0,15,2004-06-10 15:34:16.952844
27,2004-06-11 00:34:16.952844,105,2,217,56,0,13,2004-06-11 13:34:16.952844
28,2004-06-12 00:34:16.952844,102,4,201,57,1,17,2004-06-12 17:34:16.952844
